jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus
Marketing Associate,Male,27,4,College,Management,1,54817,6519
Sales Associate,Male,20,3,College,Operations,1,37898,6448
IT,Male,59,5,PhD,Operations,1,79544,6760
Data Scientist,Female,20,3,High School,Engineering,1,40056,7632
IT,Female,45,4,College,Operations,2,70846,7404
Marketing Associate,Female,34,3,High School,Sales,5,79707,7196
Software Engineer,Male,59,4,High School,Operations,4,124817,7268
Manager,Male,53,4,College,Management,1,123114,6946
Financial Analyst,Female,20,3,High School,Operations,3,62377,6999
Data Scientist,Male,28,3,Masters,Sales,3,82850,5794
IT,Female,38,4,High School,Sales,2,75932,7003
Manager,Male,43,3,PhD,Management,2,121949,6739
Marketing Associate,Female,36,3,PhD,Sales,3,82755,7325
Data Scientist,Male,45,3,PhD,Administration,5,122037,8147
Warehouse Associate,Female,19,2,Masters,Administration,2,78021,6970
IT,Male,18,4,PhD,Sales,1,56309,7559
Financial Analyst,Male,59,5,PhD,Management,1,90002,8123
IT,Male,34,3,College,Sales,4,91066,6257
Manager,Male,32,3,Masters,Management,5,118088,7721
Software Engineer,Male,29,3,Masters,Operations,2,92099,7246
Financial Analyst,Female,46,4,College,Administration,4,116758,7744
Marketing Associate,Female,49,5,High School,Sales,2,96500,8092
Manager,Male,48,3,College,Management,5,138851,6929
Marketing Associate,Female,34,4,College,Administration,1,49632,7169
Driver,Female,45,3,PhD,Management,3,76700,7242
IT,Male,58,4,College,Management,5,131275,6997
Manager,Male,21,2,PhD,Operations,3,89648,6573
Graphic Designer,Female,26,2,Masters,Administration,5,100516,6737
Manager,Male,20,2,PhD,Operations,4,112854,6564
Software Engineer,Male,60,4,Masters,Sales,5,155676,6586
Driver,Male,57,4,College,Sales,4,135781,6042
Sales Associate,Female,47,3,College,Engineering,2,84935,6122
Warehouse Associate,Male,31,4,High School,Engineering,2,66407,7522
Driver,Female,56,4,PhD,Sales,3,101249,7329
Manager,Male,57,4,Masters,Administration,4,143189,6321
Graphic Designer,Male,63,5,PhD,Engineering,1,105800,7822
Software Engineer,Male,63,5,College,Operations,2,124871,7327
Data Scientist,Male,23,3,High School,Sales,3,83894,6922
Manager,Female,45,2,High School,Management,5,144146,6340
Marketing Associate,Female,46,4,PhD,Sales,2,69268,7106
Sales Associate,Male,63,5,High School,Sales,1,85948,7646
Software Engineer,Male,20,2,PhD,Engineering,4,92289,6643
Financial Analyst,Male,45,4,High School,Operations,2,75397,6490
Software Engineer,Male,65,4,High School,Engineering,1,102597,5937
Sales Associate,Female,63,4,PhD,Engineering,3,127561,7552
Warehouse Associate,Male,26,3,High School,Sales,3,72945,7279
Software Engineer,Male,60,3,PhD,Management,5,145632,6439
Marketing Associate,Female,36,3,Masters,Sales,3,77223,5272
Manager,Male,63,5,Masters,Operations,1,130093,6416
Marketing Associate,Male,33,3,PhD,Administration,2,53220,5153
Warehouse Associate,Female,41,3,College,Engineering,3,92080,6897
Graphic Designer,Female,55,3,College,Sales,5,118762,6545
Sales Associate,Female,21,2,College,Operations,5,85398,7113
Data Scientist,Male,31,3,College,Operations,1,75227,6027
Data Scientist,Male,41,3,Masters,Administration,4,104314,6611
Manager,Male,27,3,High School,Operations,1,83262,6884
Data Scientist,Female,55,3,Masters,Administration,4,123172,5797
Data Scientist,Male,41,4,PhD,Administration,1,67040,7412
Warehouse Associate,Male,33,3,College,Administration,1,77655,6581
Data Scientist,Female,46,3,College,Administration,3,107476,6182
Software Engineer,Male,45,4,Masters,Operations,2,89811,6471
Graphic Designer,Male,47,3,College,Administration,5,106893,7958
Software Engineer,Male,58,4,Masters,Engineering,5,154039,7304
Warehouse Associate,Male,64,4,High School,Operations,3,116774,6160
Software Engineer,Male,40,2,High School,Management,2,98281,5646
Marketing Associate,Female,18,3,High School,Engineering,2,34208,6620
Software Engineer,Male,42,3,Masters,Engineering,5,121821,6499
Software Engineer,Male,30,2,Masters,Engineering,5,113122,6060
Software Engineer,Male,39,4,PhD,Management,1,92154,7642
Manager,Male,31,3,PhD,Engineering,2,110643,7291
Data Scientist,Female,34,3,PhD,Administration,1,82345,7211
Data Scientist,Male,32,3,PhD,Sales,4,103908,8109
Marketing Associate,Female,24,3,High School,Engineering,3,49303,6615
IT,Female,46,4,High School,Operations,3,98456,7177
Warehouse Associate,Male,49,3,PhD,Operations,4,94927,6274
Software Engineer,Male,30,2,College,Administration,5,76654,6696
Manager,Male,46,4,Masters,Sales,1,107859,6989
Manager,Female,53,4,High School,Operations,3,129885,7314
Graphic Designer,Male,62,5,Masters,Sales,1,85702,6556
Financial Analyst,Female,63,4,Masters,Operations,1,97797,5239
Manager,Male,18,1,Masters,Management,5,115567,4775
Sales Associate,Female,30,3,High School,Administration,4,91566,6996
Sales Associate,Female,61,3,PhD,Management,4,131608,6537
Sales Associate,Male,58,4,PhD,Administration,3,118888,7438
Graphic Designer,Male,55,4,College,Sales,2,75833,6942
Financial Analyst,Female,36,3,College,Engineering,2,65750,6177
Graphic Designer,Male,65,4,College,Management,4,123371,6931
Marketing Associate,Female,49,4,Masters,Sales,3,76806,6662
Warehouse Associate,Male,38,3,College,Management,3,83774,7127
Warehouse Associate,Female,22,1,PhD,Operations,5,114733,6290
Financial Analyst,Male,22,3,PhD,Administration,2,69320,6765
Sales Associate,Male,51,3,PhD,Operations,4,110746,5947
Graphic Designer,Male,61,4,Masters,Engineering,2,105632,6394
Manager,Male,62,4,PhD,Engineering,1,117648,4765
Driver,Female,21,1,PhD,Management,4,89170,6722
Sales Associate,Male,28,3,College,Management,3,85986,8160
Financial Analyst,Male,32,4,Masters,Sales,3,78132,8035
Manager,Male,57,4,Masters,Operations,3,135073,6898
Driver,Female,52,4,High School,Operations,1,78751,6258
Software Engineer,Male,64,5,High School,Sales,2,118231,7440
Data Scientist,Male,58,5,High School,Operations,1,86651,7250
IT,Female,36,3,PhD,Management,3,75518,6711
Data Scientist,Male,44,3,Masters,Management,3,114693,6832
Financial Analyst,Male,39,3,Masters,Engineering,4,116875,5479
IT,Male,23,4,PhD,Administration,1,64468,8113
Marketing Associate,Male,40,2,PhD,Sales,5,116834,5516
Marketing Associate,Female,18,2,Masters,Management,5,75294,6496
Graphic Designer,Female,63,3,College,Management,5,127608,6558
Financial Analyst,Female,43,3,College,Sales,5,116069,6432
Driver,Female,50,3,High School,Engineering,2,86122,6295
Warehouse Associate,Male,23,2,College,Management,4,81988,7160
Warehouse Associate,Female,22,2,Masters,Sales,2,68300,5953
Manager,Male,60,4,College,Sales,2,148178,6777
Financial Analyst,Female,50,3,PhD,Operations,2,94590,5327
Sales Associate,Female,33,2,College,Engineering,4,87418,6430
Warehouse Associate,Male,25,3,College,Administration,1,68384,7443
Manager,Male,48,3,PhD,Operations,1,106056,4161
Software Engineer,Male,35,2,Masters,Management,3,110886,6228
Graphic Designer,Female,37,2,Masters,Management,3,104082,5477
IT,Female,43,3,Masters,Management,4,94354,7052
Warehouse Associate,Male,53,3,PhD,Engineering,5,128669,6866
Financial Analyst,Male,40,3,PhD,Sales,3,88725,6243
Manager,Male,56,3,Masters,Engineering,4,149771,5495
Financial Analyst,Male,45,4,Masters,Management,2,98535,8001
Data Scientist,Female,57,4,PhD,Sales,1,90713,6552
IT,Male,33,3,College,Management,3,88749,7433
Graphic Designer,Male,49,3,Masters,Operations,5,126100,6336
Manager,Male,23,3,College,Sales,3,110594,6753
Manager,Male,60,4,College,Management,3,157644,7213
Manager,Female,41,3,PhD,Management,1,113009,6812
Financial Analyst,Male,20,2,PhD,Engineering,4,105601,5943
Financial Analyst,Male,56,4,High School,Engineering,3,100769,6453
Warehouse Associate,Male,38,3,High School,Administration,2,82244,6020
Marketing Associate,Female,55,4,High School,Administration,2,72030,5569
Driver,Female,20,1,College,Management,3,66203,5627
Driver,Female,34,2,High School,Management,3,67210,5662
Manager,Female,32,2,PhD,Management,2,115383,5878
Graphic Designer,Female,49,3,PhD,Engineering,4,120697,7205
Graphic Designer,Male,29,3,PhD,Operations,2,70311,6235
Data Scientist,Female,49,3,College,Engineering,4,125770,7301
Warehouse Associate,Male,33,1,College,Engineering,5,100465,5520
Software Engineer,Male,30,2,College,Administration,4,83264,6251
Warehouse Associate,Male,61,3,PhD,Engineering,4,126375,6630
Driver,Male,25,3,College,Engineering,1,43076,5829
Data Scientist,Female,37,2,College,Sales,5,97846,7198
Sales Associate,Female,24,2,Masters,Management,3,76522,6900
Driver,Male,42,3,PhD,Operations,4,111726,5989
Sales Associate,Male,55,4,College,Administration,3,112188,6689
Data Scientist,Male,35,2,College,Operations,5,98959,6572
Sales Associate,Female,35,2,College,Management,4,87131,6356
IT,Male,40,3,College,Administration,3,77881,5569
IT,Male,36,3,Masters,Engineering,2,65225,6462
Driver,Male,30,4,Masters,Operations,1,78472,8439
Financial Analyst,Male,58,4,College,Operations,4,126269,6490
Warehouse Associate,Male,61,3,High School,Management,3,106233,5792
IT,Female,37,3,High School,Sales,2,56656,5914
IT,Female,42,3,High School,Engineering,2,70157,6016
Data Scientist,Female,41,2,PhD,Engineering,2,98366,6398
Manager,Male,59,4,College,Engineering,2,127013,6124
Software Engineer,Male,53,3,High School,Management,3,106146,6618
Manager,Male,22,2,Masters,Operations,4,90736,6219
Graphic Designer,Male,44,3,PhD,Sales,1,66611,5924
Manager,Male,57,3,PhD,Operations,5,150914,5982
Graphic Designer,Male,30,2,Masters,Management,4,70559,6497
Data Scientist,Female,33,3,College,Sales,1,73798,6224
Graphic Designer,Male,22,2,High School,Sales,3,69734,5383
Marketing Associate,Female,52,3,High School,Sales,3,94763,5668
Financial Analyst,Female,23,2,College,Administration,5,101534,6861
Graphic Designer,Male,23,1,PhD,Management,5,91504,5136
Sales Associate,Female,19,1,College,Management,4,90426,5020
Manager,Male,20,2,Masters,Operations,3,100183,6363
IT,Female,62,4,College,Operations,2,99369,6746
Graphic Designer,Female,40,3,College,Operations,1,55845,6616
Financial Analyst,Female,26,3,College,Administration,2,48570,6604
Data Scientist,Male,56,3,Masters,Engineering,3,98165,5470
Data Scientist,Female,57,3,Masters,Operations,3,113274,6186
Software Engineer,Male,23,2,Masters,Engineering,3,95754,6596
Data Scientist,Male,27,2,College,Engineering,1,57915,4584
Manager,Male,53,4,College,Sales,2,121506,6122
Manager,Male,37,3,Masters,Management,1,121151,5934
Marketing Associate,Female,46,3,College,Management,3,86241,5814
Data Scientist,Male,40,2,Masters,Management,2,87682,4152
Software Engineer,Male,42,2,College,Administration,3,114029,6842
IT,Male,43,3,College,Management,1,67323,4680
Data Scientist,Male,28,3,High School,Management,2,68049,6660
IT,Male,39,3,High School,Engineering,4,93335,5243
Driver,Female,55,3,PhD,Operations,2,100433,5090
Marketing Associate,Female,62,3,PhD,Operations,5,123242,5453
Sales Associate,Female,32,2,PhD,Administration,2,87585,6476
IT,Female,18,2,Masters,Sales,1,45747,4890
Marketing Associate,Female,41,3,High School,Administration,2,36972,7058
Sales Associate,Female,29,3,High School,Management,3,64754,7377
IT,Female,44,2,PhD,Operations,5,132267,5679
Driver,Male,53,3,PhD,Administration,3,111043,5838
Warehouse Associate,Male,25,2,Masters,Engineering,1,58130,6327
IT,Male,27,3,PhD,Operations,3,90542,7554
Manager,Male,40,2,College,Administration,2,124891,5436
Marketing Associate,Female,54,3,PhD,Engineering,5,112507,7460
Marketing Associate,Female,64,4,College,Sales,5,100316,6010
Software Engineer,Male,63,3,PhD,Engineering,2,134757,5944
